,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
81,[대구] 인디神페스티벌 _ 너드커넥션(Nerd Connection),https://image.toast.com/aaaaab/ticketlink/TKL_1/indi_pst_0621_1453.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/nerd_info_0624.jpg,어울아트센터 함지홀,너드커넥션,https://www.ticketlink.co.kr/product/50699,2024.07.20,2024.07.20,2024-07-20
82,GAC 기획공연 포커스 SURL ‘ringringring’,https://image.toast.com/aaaaab/ticketlink/TKL_2/surl_pst0622.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/surl_pst0622.jpg,광주예술의전당 소극장,"설호승(보컬&기타), 이한빈(베이스), 오명석(드럼), 김도연(기타)",https://www.ticketlink.co.kr/product/50723,2024.07.26,2024.07.26,2024-07-26
83,[안동] 버라이어티 개그 쇼 - 쇼그맨,https://image.toast.com/aaaaab/ticketlink/TKL_3/main0522.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/1w0522.jpg,안동문화예술의전당 웅부홀,,https://www.ticketlink.co.kr/product/50185,2024.07.27,2024.07.27,2024-07-27
84,"2024 오누이 “우리들의 학창시절” <김용임, 진성> - 목포",https://image.toast.com/aaaaab/ticketlink/TKL_2/main0528(2).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_5/web0528(2).jpg,목포시민문화체육센터 대공연장,"김용임, 진성",https://www.ticketlink.co.kr/product/50327,2024.07.27,2024.07.27,2024-07-27
85,2024 김창완밴드 전국투어 <개구쟁이> - 김해,https://image.toast.com/aaaaab/ticketlink/TKL_8/g_pst0613.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_2/g_700_info0613.jpg,김해문화의전당 마루홀,김창완밴드,https://www.ticketlink.co.kr/product/50601,2024.07.27,2024.07.27,2024-07-27
86,서빛마루문예회관 기획공연 #7 ‘세상에서 가장 신기한 마술’,https://image.toast.com/aaaaab/ticketlink/TKL_4/7_main_0620.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/7_main_0620.jpg,서빛마루문화예술회관,마술사 이경재,https://www.ticketlink.co.kr/product/50694,2024.07.27,2024.07.27,2024-07-27
87,2024 변진섭 전국투어 콘서트 : 변천사 - 대구,https://image.toast.com/aaaaab/ticketlink/TKL_8/b_main_0604.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_5/BCS_INFO_0604.jpg,대구보건대학교 인당아트홀,변진섭,https://www.ticketlink.co.kr/product/50450,2024.07.28,2024.07.28,2024-07-28
88,김정민 전국투어 콘서트 : LIVE STAR - 대구,https://image.toast.com/aaaaab/ticketlink/TKL_9/k_main_0604.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_4/KJM_INFO_0604.jpg,대구보건대학교 인당아트홀,김정민,https://www.ticketlink.co.kr/product/50453,2024.07.28,2024.07.28,2024-07-28
89,마음을 전하는 모래 이야기 - 안동,https://image.toast.com/aaaaab/ticketlink/TKL_6/7cul_info1_0604.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_8/7cul_info1_0604.jpg,안동문화예술의전당 백조홀,상세정보 참고,https://www.ticketlink.co.kr/product/50227,2024.07.30,2024.07.30,2024-07-30
90,[캠핑권]2024 인천펜타포트 락 페스티벌 X KB국민카드 스타샵,https://image.toast.com/aaaaab/ticketlink/TKL_5/camp_0603.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/camp_info_0603.jpg,송도달빛축제공원,,https://www.ticketlink.co.kr/product/50276,2024.08.02,2024.08.04,2024-08-04
